time in seconds,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Rcarz
0.891631,838757793,-113.5456848,-22.89284515,48.74778366,4.371952057,-8.442705154,-4.030566216,-9.198200226,-7.111767292,2.121588707,999.221313
0.899964,838766126,-113.6351318,-22.84001923,48.77248764,4.409992695,-8.528155327,-4.021193027,-7.538757324,-5.86384201,4.182485104,998.610107
0.908297,838774459,-113.7013855,-22.76747322,48.78175354,4.247694969,-8.561473846,-3.845601797,-5.886663914,-5.455883503,7.031044006,998.00238
0.91663,838782792,-113.745224,-22.67399406,48.78844833,3.826086521,-8.743444443,-3.695782661,-2.909981966,-6.013249397,9.442854881,997.39502
0.924963,838791125,-113.7676926,-22.56362915,48.8049202,3.611065626,-8.973612785,-3.56268239,-0.30201748,-8.02729702,10.85499382,996.784302
0.933296,838799458,-113.7775192,-22.45072556,48.83054733,3.601928473,-9.137718201,-3.634230375,2.040263891,-8.890369415,10.72436333,996.166565
0.941629,838807791,-113.7752914,-22.34178734,48.84693527,3.833478451,-9.194645882,-3.76080513,2.647859097,-7.957959175,10.69964314,995.539429
0.949962,838816124,-113.7685547,-22.2434845,48.84375381,3.84235239,-9.370985985,-3.8122859,2.696141958,-5.263162613,10.4020319,994.902649
0.958295,838824457,-113.7693405,-22.17083931,48.82671356,3.917187929,-9.764219284,-3.71642065,0.767133534,-2.804400206,8.209682465,994.258911
0.966628,838832790,-113.778595,-22.11071587,48.8184166,3.870057821,-9.962145805,-3.50583005,0.541139126,-2.894613504,6.435871124,993.611938
0.974961,838841123,-113.7783127,-22.05529594,48.83185577,4.06744957,-10.18381023,-3.673272133,2.273174047,-5.070184708,4.95360136,992.965576
0.983294,838849456,-113.7697144,-22.02304459,48.86468887,4.25523138,-10.02820015,-4.001739025,4.52827692,-5.736973763,1.525314927,992.323303
0.991627,838857789,-113.7718277,-22.02009201,48.9104805,4.71494627,-9.952014923,-4.216797829,3.439646244,-5.826879978,-2.260430336,991.687744
0.99996,838866122,-113.781662,-22.05025673,48.97206116,4.781036854,-9.847805977,-4.301345825,3.599222898,-5.649962902,-6.621356964,991.061768
1.008293,838874455,-113.7848816,-22.09536171,49.04509735,4.943729877,-9.389554977,-4.418602943,4.540007591,-6.270390511,-8.75945282,990.447754
1.016626,838882788,-113.7919998,-22.14985657,49.11370468,5.000395298,-8.877925873,-4.658355713,4.250567436,-5.181785583,-9.605108261,989.848328
1.024959,838891121,-113.7967834,-22.20833588,49.16747665,4.713375092,-8.510697365,-4.652990341,3.495280504,-3.655843019,-9.362182617,989.266235
1.033292,838899454,-113.8101349,-22.2624073,49.21841431,4.372344971,-8.081676483,-4.476262569,2.716914654,-3.402748585,-8.757045746,988.703918
1.041625,838907787,-113.8321075,-22.28828049,49.27140427,3.958519459,-7.772115707,-4.23773098,1.404928207,-5.151407719,-5.747143745,988.163757
1.049958,838916120,-113.8566513,-22.28450203,49.32668686,3.715102196,-7.652379036,-4.222204685,1.583561778,-6.641310692,-2.597462893,987.6474
1.058291,838924453,-113.8791504,-22.26191521,49.37133408,3.490974903,-7.688311577,-4.200553417,0.963056684,-6.654091358,-0.058169927,987.15509
1.066624,838932786,-113.9069138,-22.22929001,49.4003067,3.325672865,-7.904225349,-4.151061535,0.000678777,-5.374993324,1.749234438,986.68634
1.074957,838941119,-113.9335709,-22.1939621,49.39609146,3.486790657,-8.13875103,-4.250798225,-1.755753517,-2.311761856,3.534239531,986.241028
1.08329,838949452,-113.9723663,-22.1505661,49.37104797,3.415071964,-8.137905121,-4.054260254,-3.770697355,-0.413413733,5.361865997,985.819336
1.091623,838957785,-114.0066833,-22.08432388,49.33774567,3.265097141,-8.748940468,-3.82575345,-3.989494801,-0.869987667,8.237116814,985.421387
1.099956,838966118,-114.0133133,-21.99240685,49.30718613,3.108411551,-9.068080902,-3.78593421,-0.147870988,-2.22710681,10.93181133,985.046326
1.108289,838974451,-113.9915848,-21.8860817,49.28268051,3.253405094,-9.198658943,-3.820564985,3.140138626,-3.719750404,12.2351656,984.692261
1.116622,838982784,-113.9552841,-21.77906609,49.25580215,3.249988794,-9.191076279,-4.092718601,5.170964718,-3.323063612,12.41738701,984.356567
1.124955,838991117,-113.9203033,-21.68410873,49.22412872,3.390047312,-9.120856285,-4.060191631,4.423002243,-2.416959047,11.31784153,984.036133
1.133288,838999450,-113.8849487,-21.59269142,49.19731522,3.168184519,-9.438803673,-3.940446377,5.071349621,-2.553150177,10.69831085,983.727905
1.141621,839007783,-113.8264084,-21.5023098,49.18067551,3.042830467,-9.373555183,-3.880070925,7.924417019,-3.709325552,10.13989449,983.42981
1.149954,839016116,-113.7555008,-21.40853882,49.17825699,3.014266491,-9.185112953,-3.902139664,10.41158581,-5.135782719,9.855347633,983.140564
1.158287,839024449,-113.6749649,-21.31619835,49.18334198,2.964844704,-9.01641655,-3.988376617,11.51876163,-5.998137951,9.386555672,982.860229
1.16662,839032782,-113.610054,-21.23504829,49.19428635,3.02700448,-8.768588066,-4.08686018,10.27196217,-5.865813732,7.868040562,982.588989
1.174953,839041115,-113.5581055,-21.16776085,49.19870758,3.125220537,-8.738030434,-4.164318562,8.059122086,-4.704771996,6.673827648,982.328247
1.183286,839049448,-113.5269775,-21.10808563,49.20133972,3.194758654,-8.656646729,-4.139667511,5.851355076,-3.970002174,5.877737522,982.079529
1.191619,839057781,-113.4968109,-21.04680824,49.20726776,3.274752855,-8.673802376,-4.094059467,5.510429382,-4.561895847,5.947971821,981.845642
1.199952,839066114,-113.4612503,-20.98540497,49.22020721,3.11559701,-8.754460335,-4.079463959,6.828691959,-5.103611469,5.60545826,981.629639
1.208285,839074447,-113.4220734,-20.92809868,49.23893738,3.131837845,-8.690494537,-4.044892311,7.13583231,-5.684952259,4.945149422,981.434204
1.216618,839082780,-113.3861847,-20.87671852,49.26176834,3.099985838,-8.622261047,-4.074633598,7.290746212,-5.632467747,4.063071251,981.26178
