PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Unnamed: 11,time_seconds,Acc_Z_derivative
97,2979393841,18.975923538208008,-87.67662048339844,-163.61582946777344,9.806304931640623,-0.0879864394664764,0.2249742597341537,1.0522968769073486,-2.354639768600464,0.4759253561496734, ,0.8083333333333333,-1.2300968170166087
98,2979402174,18.974628448486328,-87.67762756347656,-163.61012268066406,9.811375617980955,-0.0952842086553573,0.2273574918508529,1.1020396947860718,-2.35092568397522,0.5956718325614929, ,0.8166666666666667,0.6547343730926549
99,2979410507,18.909772872924805,-87.68032836914062,-163.54193115234375,9.82687759399414,-0.0858586803078651,0.2358864992856979,1.0766047239303589,-2.2260563373565674,0.5936227440834045, ,0.825,0.8106628060340881
100,2979418840,18.91639709472656,-87.68074798583984,-163.54396057128906,9.786857604980469,-0.0805054232478141,0.2408685386180877,1.1105691194534302,-2.283585786819458,0.5317643284797668, ,0.8333333333333334,-1.0575288534164606
101,2979427173,18.86710357666016,-87.68354034423828,-163.4915313720703,9.83432960510254,-0.0909166783094406,0.2182610183954239,1.0574195384979248,-2.2251341342926025,0.5130915641784668, ,0.8416666666666667,0.6282877922058123
102,2979435506,18.866649627685547,-87.68379211425781,-163.48681640625,9.807024955749512,-0.0807219520211219,0.2513400018215179,1.0829826593399048,-2.248340606689453,0.5553549528121948, ,0.85,0.9315758943557739
103,2979443839,18.78851890563965,-87.68717193603516,-163.4055633544922,9.811904907226562,-0.0933120995759964,0.2337872833013534,1.0445868968963623,-2.27344298362732,0.6754346489906311, ,0.8583333333333333,-0.7908394932747029
104,2979452172,18.76441764831543,-87.68801879882812,-163.37710571289062,9.82782745361328,-0.0828036144375801,0.2381593436002731,1.0962764024734497,-2.2586886882781982,0.6791742444038391, ,0.8666666666666667,-0.006770789623265827
105,2979460505,18.70207405090332,-87.69209289550781,-163.31103515625,9.813921928405762,-0.0781145766377449,0.2336744368076324,1.1116193532943726,-2.3504133224487305,0.6213116645812988, ,0.875,-1.601893007755283
106,2979468838,18.684907913208008,-87.69268035888672,-163.28903198242188,9.779986381530762,-0.0976612344384193,0.2114611268043518,1.1593388319015503,-2.2916290760040283,0.6578888893127441, ,0.8833333333333333,-1.2327700853347832
107,2979477171,18.64128303527832,-87.697265625,-163.24110412597656,9.839883804321287,-0.0940905958414077,0.2131282687187194,1.1834160089492798,-2.417471408843994,0.5517690181732178, ,0.8916666666666666,2.5920653343200275
108,2979485504,18.636642456054688,-87.6988754272461,-163.2323455810547,9.833288192749023,-0.0928025916218757,0.2546622157096863,1.0714049339294434,-2.3890910148620605,0.6219519972801208, ,0.9,2.1578049659728595
109,2979493837,18.58758354187012,-87.70169067382812,-163.18026733398438,9.79759693145752,-0.0839530751109123,0.2490916848182678,1.0317541360855105,-2.2488272190093994,0.5157809853553772, ,0.9083333333333333,-1.7615532875061124
110,2979502170,18.597393035888672,-87.70185852050781,-163.1858673095703,9.796027183532717,-0.1030898541212081,0.2253029942512512,1.0798321962356567,-2.2369165420532227,0.4986195564270019, ,0.9166666666666666,-2.834355533123027
111,2979510503,18.54618453979492,-87.70390319824219,-163.1313018798828,9.80334758758545,-0.103458471596241,0.2018524259328842,1.073659062385559,-2.1742897033691406,0.5021030306816101, ,0.9249999999999999,-0.6700122356415079
112,2979518836,18.56692886352539,-87.70304870605469,-163.14817810058594,9.82668399810791,-0.0975608378648758,0.2141361236572265,1.0405911207199097,-2.169269561767578,0.419394701719284, ,0.9333333333333333,1.1351975798606802
113,2979527169,18.535717010498047,-87.70603942871094,-163.11231994628906,9.798206329345703,-0.0820621699094772,0.220772385597229,1.2337225675582886,-2.284508228302002,0.4438562989234924, ,0.9416666666666667,1.2112319469451958
114,2979535502,18.536996841430664,-87.70458984375,-163.10890197753906,9.791951179504396,-0.0959375649690628,0.2343233227729797,1.1398719549179075,-2.048985242843628,0.4818422198295593, ,0.95,-0.4213330149650307
115,2979543835,18.505409240722656,-87.70816802978516,-163.07290649414062,9.833303451538086,-0.0920528993010521,0.2137501686811447,1.2119247913360596,-2.3503878116607666,0.4668066799640655, ,0.9583333333333334,0.2587750554085133
116,2979552168,18.506690979003903,-87.7077407836914,-163.06997680664062,9.768190383911133,-0.0849758088588714,0.238636240363121,1.0750678777694702,-2.162686586380005,0.5167799592018127, ,0.9666666666666667,0.9140253067016619
117,2979560501,18.46517944335937,-87.7099609375,-163.02468872070312,9.843957901000977,-0.0850316137075424,0.228983923792839,1.1353380680084229,-2.195293426513672,0.4613251686096191, ,0.975,-0.28952926397323964
118,2979568834,18.500192642211918,-87.71125030517578,-163.0545654296875,9.809359550476074,-0.0624920800328254,0.2338107526302337,1.1947633028030396,-2.4034347534179688,0.4323554635047912, ,0.9833333333333333,-1.3683423399924912
119,2979577167,18.47079467773437,-87.71381378173828,-163.02247619628906,9.844280242919922,-0.0653227344155311,0.206178218126297,0.9987373948097228,-2.215400695800781,0.4018489122390747, ,0.9916666666666667,-1.5681552886962624
